id,text,label,score
5829,"has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone . ",positive,0.4588
5830,misanthropic comedies ,positive,0.4019
5831,"it all unfolds predictably , ",positive,0.0
5832,missing a great deal of the acerbic repartee of the play ,positive,0.6486
5833,"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters . ",positive,0.8072
5834,the road ,positive,0.0
5835,the intensity ,positive,0.0
5836,when ` science fiction ' takes advantage of the fact that its intended audience has n't yet had much science ,positive,0.25
5837,"'s just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain ",negative,-0.7184
5838,it does n't give a damn ,positive,0.3089
5839,in constant fits of laughter ,positive,0.4939
5840,conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt ,positive,0.128
5841,beauty reeks ,positive,0.5859
5842,its amiable jerking ,positive,0.0
5843,", sweet ` evelyn ",positive,0.4588
5844,it 's lousy ,negative,-0.5423
5845,manufactured to claim street credibility ,positive,0.0
5846,breathtaking mystery ,positive,0.4588
5847,much fun ,positive,0.5106
5848,reasonable ,positive,0.0
5849,gets an exhilarating new interpretation in morvern callar ,positive,0.4019
5850,the old mib label stands for milder is n't better . ,negative,-0.3412
5851,of portraying the devastation of this disease ,negative,-0.4215
5852,", fine music never heard ",positive,0.2023
5853,"alone , should scare any sane person away . ",negative,-0.6369
5854,little less bling-bling ,positive,0.0
5855,watch this movie ,positive,0.0
5856,robust and scary ,negative,-0.2023
5857,"how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture ",positive,0.7693
5858,about the astonishingly pivotal role of imagination in the soulful development of two rowdy teenagers ,positive,0.0
5859,"animation back 30 years , ",positive,0.0
5860,rent this on video ,positive,0.0
5861,nothing short of wonderful with its ten-year-old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil . ,negative,-0.7268
5862,can easily imagine benigni 's pinocchio becoming a christmas perennial . ,positive,0.34
5863,though it runs 163 minutes ,positive,0.0
5864,", dishonest ",negative,-0.5719
5865,i honestly never knew what the hell was coming next ,negative,-0.3818
5866,"has a way of seeping into your consciousness , ",positive,0.0
5867,", twisted , brilliant and macabre ",positive,0.5859
5868,visual charm ,positive,0.4019
5869,"makes compelling , provocative and prescient viewing . ",positive,0.2263
5870,slick ,positive,0.0
5871,"the tv movie-esque , affected child acting to the dullest irish pub scenes ever filmed ",negative,-0.5106
5872,gets off with a good natured warning ,positive,0.128
5873,to direct-to-video irrelevancy ,positive,0.0
5874,"is a disaster , with cloying messages and irksome characters . ",negative,-0.6249
5875,"a gently funny , sweetly adventurous film ",positive,0.886
5876,unfolds with all the mounting tension of an expert thriller ,negative,-0.2263
5877,offer some modest amusements ,positive,0.3612
5878,he refuses to evaluate his own work ,positive,0.0
5879,one big excuse to play one lewd scene after another ,positive,0.4019
5880,"sour , bloody and mean ",negative,-0.4404
5881,"unfortunately , we 'd prefer a simple misfire . ",negative,-0.34
5882,"it has no affect on the kurds , but it wore me down ",negative,-0.1531
5883,"loud and offensive , but more often ",negative,-0.25
5884,", a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own . ",positive,0.2544
5885,is off-putting ,positive,0.0
5886,becomes long and tedious like a classroom play in a college history course . ,positive,0.5994
5887,refreshingly forthright one ,positive,0.0
5888,interesting matters of identity and heritage ,positive,0.4215
5889,it can be safely recommended as a video/dvd babysitter . ,positive,0.6124
5890,a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair ,positive,0.296
5891,"is definitely meaningless , vapid and devoid of substance ",negative,-0.0516
5892,"is a smart movie that knows its classical music , knows its freud and knows its sade ",positive,0.4019
5893,as obnoxious as tom green 's freddie got fingered ,negative,-0.4588
5894,"anybody who enjoys quirky , fun , popcorn movies with a touch of silliness and a little ",positive,0.6908
5895,ennui-hobbled ,positive,0.0
5896,is a seriously intended movie that is not easily forgotten . ,negative,-0.2663
5897,distract from the flawed support structure holding equilibrium up ,positive,0.128
5898,you 'll find in this dreary mess . ,negative,-0.6428
5899,"humorous , illuminating study ",positive,0.3818
5900,a feast for the eyes ,positive,0.0
5901,have been worth cheering as a breakthrough but is devoid of wit and humor ,positive,0.6428
5902,is better than any summer blockbuster ,positive,0.7783
5903,washed out despite all of that ,positive,0.0
5904,life and love ,positive,0.6369
5905,"i 'm sure mainstream audiences will be baffled , but , for those with at least a minimal appreciation of woolf and clarissa dalloway , the hours represents two of those well spent . ",positive,0.8294
5906,"slow , predictable and not very amusing ",negative,-0.3401
5907,show a remarkable ability to document both sides of this emotional car-wreck . ,positive,0.7684
5908,"gooding is the energetic frontman , and it 's hard to resist his enthusiasm , even if the filmmakers come up with nothing original in the way of slapstick sequences . ",positive,0.5327
5909,is sincere ,positive,0.4019
5910,"if you 're over 25 , have an iq over 90 , and have a driver 's license ",positive,0.0
5911,the act is still charming here . ,positive,0.5859
5912,'s too long and unfocused . ,negative,-0.4019
5913,effortless ,positive,0.0
5914,'s not original enough ,negative,-0.2411
5915,provided his own broadside ,positive,0.0
5916,that 's 86 minutes too long ,negative,-0.3818
5917,no solace here ,negative,-0.296
5918,comedic employment ,positive,0.4019
5919,bill morrison 's decasia ,positive,0.0
5920,a good match ,positive,0.4404
5921,"premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper ",negative,-0.34
5922,unrelentingly exploitative ,positive,0.0
5923,but something far more stylish and cerebral -- and ,positive,0.0
5924,not only better than its predecessor ,negative,-0.3412
5925,in denial about ,positive,0.0
5926,most of the pitfalls you 'd expect in such a potentially sudsy set-up ,positive,0.0
5927,wo n't be able to look away for a second ,positive,0.0
5928,when you 're a struggling nobody ,negative,-0.4215
5929,"it 's sharply comic and surprisingly touching , so hold the gong ",positive,0.296
5930,little less bling-bling and a lot more ,positive,0.0
5931,cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but ,positive,0.2023
5932,straight-to-video ,positive,0.0
5933,melodramatic paranormal romance is an all-time low for kevin costner . ,positive,0.3612
5934,it 's far from fresh-squeezed ,positive,0.0
5935,despite suffering a sense-of-humour failure ,positive,0.6435
5936,scene the impressively discreet filmmakers may have expected to record with their mini dv ,positive,0.4588
5937,"too slow for a younger crowd , too shallow for an older one . ",positive,0.0
5938,"powerful , inflammatory film ",positive,0.4215
5939,michele 's spiritual quest is neither amusing nor dramatic enough to sustain interest ,positive,0.2062
5940,making ararat far more demanding than it needs to be ,negative,-0.2944
5941,by a master ,positive,0.0
5942,"bleed it almost completely dry of humor , verve and fun ",positive,0.6872
5943,delightfully ,positive,0.5719
5944,"assured , glossy and shot through with brittle desperation . ",negative,-0.128
5945,to believe these jokers are supposed to have pulled off four similar kidnappings before ,positive,0.0
5946,"retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world 's democracie ",positive,0.4939
5947,even predictable remake ,positive,0.0
5948,sketchy it amounts to little more than preliminary notes for a science-fiction horror film ,negative,-0.5719
5949,without any of its sense of fun or energy ,positive,0.6597
5950,much of the cast is stiff or just plain bad . ,negative,-0.5423
5951,feces ,positive,0.0
5952,underachiever ,positive,0.0
5953,as the film breaks your heart ,positive,0.0
5954,cutesy romantic tale ,positive,0.7003
5955,a huge amount of the credit for the film ,positive,0.5994
5956,"despite its lavish formalism and intellectual austerity , the film manages to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity . ",positive,0.5106
5957,to make the formula feel fresh ,positive,0.3182
5958,just ca n't take it any more ,positive,0.0
5959,convey a sense of childhood imagination ,positive,0.0
5960,"soulful , scathing and joyous ",positive,0.6249
5961,"let crocodile hunter steve irwin do what he does best , ",positive,0.6369
5962,"it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast ",positive,0.0258
5963,i have a new favorite musical ,positive,0.4588
5964,warped logic ,positive,0.0
5965,"there are n't too many films that can be as simultaneously funny , offbeat and heartwarming ( without a thick shmear of the goo , at least ) , but ",positive,0.4588
5966,certainly ca n't recommend it ,positive,0.0747
5967,ridicule factor ,negative,-0.4588
5968,works smoothly ,positive,0.0
5969,capturing the innocence and idealism of that first encounter ,positive,0.6486
5970,"all comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad ",negative,-0.0387
5971,an avid interest ,positive,0.6369
5972,", signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ",positive,0.0
5973,", more inadvertent ones and stunningly trite ",negative,-0.2023
5974,work that lacks both a purpose and a strong pulse ,positive,0.5106
5975,am baffled by jason x. ,positive,0.0
5976,as though you rode the zipper after eating a corn dog and an extra-large cotton candy ,positive,0.0
5977,equally assured ,positive,0.3612
5978,must shoot it in the head ,negative,-0.34
5979,", then becomes bring it on , then becomes unwatchable ",positive,0.0
5980,have developed some taste ,positive,0.0
5981,deserves recommendation ,positive,0.0
5982,precious new star wars movie ,positive,0.0258
5983,reflective and beautifully ,positive,0.5719
5984,"rooting against , ",positive,0.0
5985,be as bored watching morvern callar ,negative,-0.2732
5986,a sadistic bike flick that would have made vittorio de sica proud ,positive,0.4767
5987,that greasy little vidgame pit in the theater lobby ,positive,0.0258
5988,grows up ,positive,0.0
5989,what a reckless squandering ,negative,-0.4019
5990,ferocity and ,negative,-0.1779
5991,stereotypical ,positive,0.0
5992,ca n't believe anyone would really buy this stuff ,positive,0.0
5993,you wo n't be disappointed ,positive,0.3724
5994,a comedy that swings and jostles to the rhythms of life . ,positive,0.3612
5995,"funny , twisted , brilliant and macabre ",positive,0.7717
5996,without beauty or humor ,negative,-0.5975
5997,a minimalist beauty and the beast ,positive,0.5859
5998,it actually makes the heart soar ,positive,0.0
5999,goodwill ,positive,0.0
6000,"dramatize life 's messiness from inside out , in all its strange quirks ",negative,-0.2023
6001,can do even more damage ,negative,-0.5413
6002,"a chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` in space , no one can hear you snore ",negative,-0.6899
6003,"a solid , well-formed satire ",positive,0.1531
6004,"it is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag ",positive,0.0258
6005,with a creepy and dead-on performance ,positive,0.0
6006,"kiddie entertainment , sophisticated wit and symbolic graphic design ",positive,0.7506
6007,a domestic melodrama ,positive,0.0
6008,"the quiet american is n't a bad film , it 's just one that could easily wait for your pay per view dollar . ",positive,0.5927
6009,we do n't get paid enough to sit through crap like this . ,negative,-0.0258
6010,", dancing , singing , and unforgettable characters ",positive,0.0
6011,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,negative,-0.5588
6012,the trailer is a riot . ,negative,-0.5574
6013,of the theater feeling ,positive,0.128
6014,a stale copy of a picture that was n't all that great to begin with ,negative,-0.5096
6015,baaaaaaaaad ,positive,0.0
6016,is pushed into the margins by predictable plotting and tiresome histrionics ,positive,0.0
6017,dredge ,positive,0.0
6018,bad movie . ,negative,-0.5423
6019,"for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture ",positive,0.4019
6020,its awkward structure and ,negative,-0.1531
6021,"faith , love and power ",positive,0.7906
6022,as tiresome as 9 ,positive,0.0
6023,"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form ",negative,-0.5859
6024,vibrant and ,positive,0.5267
6025,handles it in the most unexpected way ,positive,0.0
6026,this three-hour endurance test ,positive,0.0
6027,love liza ,positive,0.6369
6028,astonishing ... ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment ,positive,0.7269
6029,"while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires . ",positive,0.8519
6030,"garnered from years of seeing it all , a condition only the old are privy to , and ... ",positive,0.0
6031,his fake backdrops ,negative,-0.4767
6032,too daft by half ... but supremely good natured . ,positive,0.872
6033,bottom-feeder sequel ,positive,0.0
6034,no one in the audience or the film seems to really care ,positive,0.3167
6035,can obscure this movie 's lack of ideas ,negative,-0.3182
6036,"right now , they 're merely signposts marking the slow , lingering death of imagination . ",negative,-0.5994
6037,"about mad queens , obsessive relationships , and rampant adultery ",negative,-0.6249
6038,to check your brain at the door ,positive,0.0
6039,"adults , other than the parents ... will be hard pressed to succumb to the call of the wild . ",negative,-0.1027
6040,as epic tragedy ,negative,-0.6597
6041,"the movie is silly beyond comprehension , ",positive,0.0258
6042,their hearts in the right place ,positive,0.0
6043,nearly as fresh or enjoyable ,positive,0.6369
6044,this listless feature will win him any new viewers ,positive,0.5859
6045,"is painfully bad , a fourth-rate jim carrey who does n't understand the difference between dumb fun and just plain dumb ",negative,-0.8807
6046,watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ? ,negative,-0.2732
6047,does justice both to stevenson and to the sci-fi genre . ,positive,0.5267
6048,", predictable rehash ",positive,0.0
6049,a crime movie made by someone who obviously knows nothing about crime ,negative,-0.7906
6050,ultimate insignificance ,positive,0.0
6051,saves ,positive,0.0
6052,"`` sorority boys '' was funnier , and that movie was pretty bad . ",positive,0.34
6053,it 's provocative stuff ,positive,0.0
6054,the solid filmmaking ,positive,0.1531
6055,a one-star rating ,positive,0.0
6056,so much farcical ,positive,0.0
6057,"there is a real subject here , and ",positive,0.0
6058,just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny ,negative,-0.4389
6059,'s a very tasteful rock and roll movie . ,positive,0.0
6060,comedian runs out of steam after a half hour . ,positive,0.3818
6061,an admittedly middling film ,positive,0.0
6062,even sexy ,positive,0.5267
6063,believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film ,positive,0.5563
6064,might describe as a castrated ,positive,0.0
6065,staggers between flaccid satire and what ,positive,0.0
6066,do justice to the awfulness of the movie ,positive,0.5267
6067,first great film ,positive,0.6249
6068,a gentle waking coma ,positive,0.4404
6069,"farts , urine , feces ",positive,0.0
6070,are poorly delivered ,positive,0.0
6071,enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,positive,0.0
6072,'s a very valuable film ,positive,0.5256
6073,", it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug . ",positive,0.2023
6074,"what an idea , what a thrill ride . ",positive,0.3612
6075,emotionally manipulative and sadly imitative of innumerable past love story derisions ,positive,0.34
6076,"a popcorn film , not a must-own , or even a must-see ",positive,0.0
6077,too easy ,positive,0.4404
6078,a love story as sanguine as its title ,positive,0.6369
6079,uneven dialogue and plot lapses ,positive,0.0
6080,relentlessly globalizing ,positive,0.0
6081,huge mess ,negative,-0.0516
6082,this loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses ,negative,-0.1317
6083,"sexy , and rousing ",positive,0.5267
6084,the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ,positive,0.0258
6085,stumbles over every cheap trick in the book trying to make the outrage come even easier . ,negative,-0.1779
6086,"game of absurd plot twists , idiotic court maneuvers and stupid characters ",negative,-0.7906
6087,a wonderful tale of love and destiny ,positive,0.836
6088,pseudo-intellectual kid ,positive,0.0
6089,for its rather slow beginning ,positive,0.0
6090,skullduggery and ,positive,0.0
6091,are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,positive,0.5859
6092,an unfortunate title ,negative,-0.4588
6093,most of what passes for sex in the movies look like cheap hysterics ,negative,-0.0772
6094,alienated ,positive,0.0
6095,"a mildly funny , sometimes tedious , ultimately insignificant ",positive,0.128
6096,"overall , it 's a very entertaining , thought-provoking film with a simple message : god is love . ",positive,0.8588
6097,it wore me down ,positive,0.0
6098,that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,positive,0.4215
6099,"so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat . ",positive,0.7845
6100,debut effort by `` project greenlight '' winner ,positive,0.5859
6101,feel alive - ,positive,0.3818
6102,literally ,positive,0.0
6103,astounding ,positive,0.4215
6104,'s one of the worst of the entire franchise . ,negative,-0.6249
6105,"its recycled aspects , ",positive,0.0
6106,lumbering load ,positive,0.0
6107,the film is so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film . ,positive,0.4201
6108,i 'd be lying if i said my ribcage did n't ache by the end of kung pow . ,negative,-0.2996
6109,hated myself in the morning . ,negative,-0.6369
6110,form an acting bond that makes the banger sisters a fascinating character study with laughs to spare ,positive,0.7717
6111,"to sort the bad guys from the good , which is its essential problem ",negative,-0.5106
6112,impressed with its own solemn insights ,positive,0.4215
6113,", i 'm the one that i want , in 2000 . ",positive,0.0772
6114,", he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long . ",positive,0.0
6115,geared toward maximum comfort and familiarity ,positive,0.3612
6116,"it jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier . ",negative,-0.5236
6117,have all but ruined his career ,negative,-0.631
6118,a superfluous sequel ,positive,0.0
6119,of the best short story writing ,positive,0.6369
6120,open yourself up to mr. reggio 's theory of this imagery as the movie 's set ,positive,0.0
6121,doze off for a few minutes or ,positive,0.0
6122,snl '' has-been ,positive,0.0
6123,"its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting ",positive,0.0
6124,naturally dramatic ,positive,0.0
6125,"a waste of de niro , mcdormand and the other good actors ",positive,0.0258
6126,", this is sure to raise audience 's spirits and leave them singing long after the credits roll . ",positive,0.5574
6127,for the sights and sounds of the wondrous beats ,positive,0.0
6128,accurately reflects the rage and alienation that fuels the self-destructiveness of many young people ,negative,-0.6908
6129,"director george hickenlooper has had some success with documentaries , ",positive,0.5719
6130,"'s not scary , not smart and not engaging ",positive,0.3659
6131,whimsical and relevant today ,positive,0.0772
6132,"slow , predictable and ",positive,0.0
6133,starts as a tart little lemon drop of a movie and ends up as a bitter pill . ,negative,-0.5606
6134,come to term an `` ambitious failure ,negative,-0.0516
6135,also has humor and heart and very talented young actors ,positive,0.6901
6136,south park ,positive,0.0
6137,assaultive ,negative,-0.5859
6138,is the fact that there is nothing distinguishing in a randall wallace film ,positive,0.0
6139,love this movie ,positive,0.6369
6140,multi-layers ,positive,0.0
6141,"one of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise . ",positive,0.4391
6142,fleshed-out enough to build any interest ,positive,0.4588
6143,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,positive,0.6908
6144,painfully padded . ,negative,-0.5267
6145,some of the magic we saw in glitter here in wisegirls ,positive,0.0
6146,paper-thin supporting characters ,positive,0.4404
6147,most charmless ,negative,-0.4754
6148,sustains ,positive,0.0
6149,"are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary ",negative,-0.7003
6150,to really care ,positive,0.5413
6151,"while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction . ",negative,-0.3094
6152,you can take the grandkids or the grandparents and never worry about anyone being bored ... ,positive,0.0788
6153,"intelligent , realistic portrayal ",positive,0.4588
6154,funnier version of the old police academy flicks . ,positive,0.4019
6155,a fast-moving and cheerfully simplistic ,positive,0.4767
6156,that was hard for me to warm up to ,positive,0.128
6157,is standard crime drama fare ... instantly forgettable and thoroughly dull . ,negative,-0.7574
6158,"a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions . ",positive,0.128
6159,savor ,positive,0.0
6160,garbage ,positive,0.0
6161,", this strangely schizo cartoon seems suited neither to kids or adults . ",negative,-0.296
6162,"an unsettling , memorable cinematic experience ",positive,0.0
6163,a routine crime ,negative,-0.5423
6164,"a cinematic car wreck , ",negative,-0.4404
6165,unusual but unfortunately also ,negative,-0.4767
6166,tart ,positive,0.0
6167,"also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ",positive,0.0
6168,"feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark ",positive,0.8271
6169,been so aggressively anti-erotic ,negative,-0.3804
6170,"the small , human moments ",positive,0.0
6171,"burns ' visuals , characters and his punchy dialogue ",positive,0.0
6172,boasts a handful of virtuosic set pieces ,positive,0.4939
6173,far less ,positive,0.0
6174,", it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires . ",positive,0.7906
6175,"likeable thanks to its cast , its cuisine and its quirky tunes ",positive,0.7096
6176,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing . ,negative,-0.4215
6177,eventually becomes too heavy for the plot . ,positive,0.0
6178,"as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels , but ",positive,0.0328
6179,"there are plenty of scenes in frida that do work , but rarely do they involve the title character herself . ",positive,0.0
6180,run-of-the-mill profanity ,positive,0.0
6181,almost unbearably ,positive,0.0
6182,"a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks . ",negative,-0.34
6183,the unacceptable ,negative,-0.4588
6184,propelled by the acting ,positive,0.0
6185,obnoxious 88-minute ,negative,-0.4588
6186,is still quite good-natured and not a bad way to spend an hour or two . ,positive,0.431
6187,intricately structured and well-realized ,positive,0.0
6188,cross between xxx and vertical limit . ,positive,0.0
6189,really get inside of them ,positive,0.0
6190,"endearing , masterful ",positive,0.0
6191,even accepting this in the right frame of mind can only provide it with so much leniency . ,positive,0.3818
6192,"thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments ",positive,0.6591
6193,most excruciating 86 minutes one ,negative,-0.8162
6194,and small delights ,positive,0.4588
6195,"in the end , tuck everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in . ",negative,-0.2732
6196,engaging mystery ,positive,0.34
6197,is n't a bad film ,positive,0.431
6198,it gives poor dana carvey nothing to do that is really funny ,positive,0.024
6199,'s waltzed itself into the art film pantheon ,positive,0.0
6200,'s a masterpeice . ,positive,0.0
6201,"that kate is n't very bright , but that she has n't been worth caring about ",negative,-0.7393
6202,cynicism ,negative,-0.4019
6203,on the monster 's path of destruction ,negative,-0.5719
6204,'' admirably ,positive,0.5423
6205,a ploddingly melodramatic structure ,positive,0.0
6206,that it emerges as another key contribution to the flowering of the south korean cinema ,positive,0.0
6207,"halfway through this picture i was beginning to hate it , and , of course ",negative,-0.5719
6208,a fanciful drama about napoleon 's last years and his surprising discovery of love and humility . ,positive,0.743
6209,"quiet , patient and tenacious as mr. lopez himself ",positive,0.0
6210,an intimate contemplation ,positive,0.0
6211,an acting bond that makes the banger sisters a fascinating character study with laughs to spare ,positive,0.7717
6212,yet depressing ,negative,-0.3818
6213,the young stars are too cute ; ,positive,0.4588
6214,masochistic ,negative,-0.4939
6215,gloriously goofy way ,positive,0.5994
6216,overladen with plot conceits ,positive,0.0
6217,talented enough and charismatic enough to make us care about zelda 's ultimate fate ,positive,0.7579
6218,david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen . ,positive,0.836
6219,what 's worse ,negative,-0.4767
6220,is long on narrative and ( too ) short ,positive,0.0
6221,less capable ,positive,0.3197
6222,"of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements ",positive,0.1779
6223,excuse to get to the closing bout ... by which time it 's impossible to care who wins ,positive,0.802
6224,", empathy and pity fogging up the screen ... his secret life enters the land of unintentional melodrama and tiresome love triangles . ",positive,0.4588
6225,such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating ,positive,0.6115
6226,engages ,positive,0.25
6227,"it 's a loathsome movie , it really is ",positive,0.0
6228,that its visual imagination is breathtaking ,positive,0.4588
6229,"shows he 's back in form , with an astoundingly rich film . ",positive,0.7717
6230,"'s sharply comic and surprisingly touching , ",positive,0.296
6231,of artifice and purpose ,positive,0.0
6232,it 's impossible to indulge the fanciful daydreams of janice beard ( eileen walsh ) when her real-life persona is so charmless and vacant . ,negative,-0.5598
6233,'s a heaven for bad movies ,negative,-0.0516
6234,endear ,positive,0.0
6235,"it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time . ",positive,0.5709
6236,knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast . ,negative,-0.3089
6237,unbearable when it is n't merely offensive ,positive,0.357
6238,"scotland looks wonderful , the fans are often funny fanatics , the showdown sure beats a bad day of golf . ",positive,0.6597
6239,affable if not timeless ,positive,0.0
6240,", you wo n't find anything to get excited about on this dvd . ",positive,0.34
6241,seem twice as long ,positive,0.0
6242,as tiresome as 9 seconds of jesse helms ' anti- castro ,negative,-0.3182
6243,is high on squaddie banter ,positive,0.0
6244,too cliched ,positive,0.0
6245,are breathtaking ,positive,0.4588
6246,"does a great combination act as narrator , jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history . ",positive,0.7845
6247,"funny , sexy , and rousing ",positive,0.743
6248,exude an air of dignity that 's perfect for the proud warrior that still lingers in the souls of these characters . ,positive,0.8591
6249,of quirkily appealing minor movie she might not make for a while ,positive,0.0
6250,"a film of freshness , imagination and insight ",positive,0.0
6251,repulsive and depressing ,negative,-0.3818
6252,great premise ,positive,0.6249
6253,a well loved classic ,positive,0.7184
6254,it 's fun ,positive,0.5106
6255,balanced by a rich visual clarity and deeply ,positive,0.743
6256,illogical ,positive,0.0
6257,i mind ugly ,negative,-0.5106
6258,adds up to big box office bucks all but guaranteed . ,positive,0.0
6259,slob city reductions of damon runyon crooks ,positive,0.0
6260,"it 's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas . ",positive,0.1027
6261,compulsively watchable ,positive,0.0
6262,very little story or character ,positive,0.0
6263,the film 's desire to be liked sometimes ,positive,0.6705
6264,misfire that even tunney ca n't save . ,negative,-0.3875
6265,mean ,positive,0.0
6266,"of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work ",positive,0.0
6267,"old-fashioned , occasionally charming ",positive,0.5434
6268,added depth and resonance ,positive,0.0
6269,in the pianist ,positive,0.0
6270,the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea ,negative,-0.4767
6271,the heart and soul of cinema ,positive,0.0
6272,"acquainted with the author 's work , on the other hand , ",positive,0.4939
6273,overstating ,positive,0.0
6274,cheats on itself and retreats to comfortable territory . ,positive,0.128
6275,"premise , mopes through a dreary tract of virtually plotless meanderings ",negative,-0.34
6276,not once does it come close to being exciting . ,positive,0.4939
6277,'s also disappointing to a certain degree . ,negative,-0.2732
6278,"not for their acting chops , but for their looks ",positive,0.0
6279,lame entertainment ,positive,0.0
6280,"laborious whine , the bellyaching of a paranoid and unlikable man . ",negative,-0.5423
6281,ultimately comes off as a pale successor . ,positive,0.2263
6282,that delivers a surprising ,positive,0.2732
6283,rattling the viewer ,positive,0.0
6284,the movie is a dud . ,negative,-0.25
6285,"the film settles in and becomes compulsively watchable in a guilty-pleasure , daytime-drama sort of fashion . ",positive,0.0
6286,"with honesty , insight and humor ",positive,0.6486
6287,will attach a human face to all those little steaming cartons . ,positive,0.0
6288,it will make you wish you were at home watching that movie instead of in the theater watching this one . ,positive,0.4019
6289,the level of an after-school tv special ,positive,0.4019
6290,weirdly engaging and unpredictable character pieces ,positive,0.0516
6291,'s that painful ,negative,-0.4404
6292,writer-director ritchie reduces wertmuller 's social mores and politics to tiresome jargon . ,positive,0.0
6293,-- even more damning -- ,negative,-0.4005
6294,the most multilayered and sympathetic female characters of the year ,positive,0.552
6295,"vera has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores . ",negative,-0.4588
6296,many of the things that made the first one charming ,positive,0.5859
6297,the movie 's seams may show ... but pellington gives `` mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling ,positive,0.3291
6298,on it ,positive,0.0
